Combinação,Acertos
"1,2,3,4,8,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25",46
"1,2,3,4,5,6,7,8,9,10,11,12,13,15,17,19,20,23,24,25",46
"1,2,3,4,5,6,7,8,11,13,14,15,16,19,20,21,22,23,24,25",46
"3,4,5,6,7,8,9,10,11,13,14,15,16,17,19,20,22,23,24,25",46
"1,2,3,4,6,9,10,11,12,14,15,17,18,19,20,21,22,23,24,25",45
"1,2,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,25",45
"1,2,3,4,5,6,7,8,9,10,11,14,17,18,19,20,21,23,24,25",45
"1,2,4,5,6,7,8,10,11,13,15,16,17,18,19,20,21,22,24,25",45
"1,3,4,5,6,7,8,9,10,11,12,13,15,17,18,19,21,22,24,25",45
"1,3,5,6,7,8,9,10,12,13,14,16,17,18,19,20,21,22,24,25",45
"1,2,4,6,7,9,10,11,12,13,14,16,17,18,19,20,21,23,24,25",44
"1,2,3,4,5,6,8,9,11,12,13,14,15,16,17,21,22,23,24,25",44
"1,2,3,4,6,7,8,9,10,11,12,14,15,16,17,18,19,22,23,25",44
"1,2,3,4,5,6,9,10,11,12,13,15,17,18,19,20,21,23,24,25",43
"1,2,3,4,5,6,10,11,12,13,14,15,16,19,20,21,22,23,24,25",43
"1,3,5,6,7,8,10,11,12,14,15,17,18,19,20,21,22,23,24,25",43
"2,3,4,5,6,7,8,9,10,11,12,16,17,18,19,20,21,22,24,25",42
"1,2,3,4,5,6,8,9,10,11,12,13,14,15,17,20,21,23,24,25",42
"1,2,3,4,5,7,8,9,10,11,12,13,14,15,18,20,22,23,24,25",42
"1,2,3,5,6,7,10,11,12,14,15,16,17,18,19,20,21,23,24,25",42
"1,2,3,4,5,6,8,9,10,11,12,14,15,16,17,18,19,20,22,25",42
"1,2,3,4,6,7,8,9,10,12,13,14,16,17,18,19,21,22,24,25",42
"1,3,4,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24",42
"2,3,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,23,25",42
"1,2,3,4,6,7,8,9,12,13,14,15,17,18,19,20,22,23,24,25",41
"1,3,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,24,25",41
"1,2,3,4,5,6,7,8,9,10,11,13,14,16,17,18,20,21,23,25",41
"1,2,3,4,5,6,7,9,10,11,14,15,16,17,18,19,20,21,23,25",41
"1,2,4,6,7,8,9,10,11,12,14,15,16,18,19,20,21,23,24,25",41
"1,3,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,25",41
"1,2,3,4,5,6,7,8,9,11,13,14,15,16,18,20,21,22,23,24",41
"1,2,3,4,5,6,7,9,10,11,12,13,15,16,17,18,19,20,21,25",40
"1,2,3,4,5,6,8,9,10,11,12,13,15,17,20,21,22,23,24,25",40
"1,2,3,4,6,9,10,11,12,13,14,15,16,17,18,20,22,23,24,25",40
"1,2,4,5,6,8,9,10,11,12,13,14,16,17,18,19,20,21,24,25",40
"1,3,4,5,6,7,9,10,11,12,13,16,17,18,19,20,22,23,24,25",39
"2,3,4,5,6,8,9,10,11,12,13,14,18,19,20,21,22,23,24,25",39
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,20,22,23,24,25",39
"1,2,3,4,5,6,7,8,9,10,11,12,16,19,20,21,22,23,24,25",39
"1,2,3,4,6,7,8,9,11,12,13,14,15,17,18,20,21,22,24,25",39
"1,2,4,5,7,8,9,10,11,12,14,15,16,17,18,19,20,21,23,25",39
"1,2,6,7,8,9,10,11,12,13,14,15,16,18,19,20,22,23,24,25",39
"1,2,3,4,5,7,8,9,10,11,13,14,15,16,17,18,20,21,22,24",39
"1,2,4,5,7,8,10,11,12,14,16,17,18,19,20,21,22,23,24,25",39
"2,4,5,6,7,8,9,10,12,13,14,16,18,19,20,21,22,23,24,25",38
"1,2,3,4,5,6,8,9,10,11,13,15,17,18,20,21,22,23,24,25",38
"1,2,3,4,6,7,8,9,10,11,12,13,14,15,17,18,19,20,22,23",38
"1,2,5,6,7,8,10,11,12,13,15,16,17,18,19,20,21,22,24,25",38
"1,2,3,4,6,7,8,9,10,11,13,14,15,17,18,19,20,22,23,24",38
"1,2,4,5,6,7,8,9,10,12,13,14,16,17,19,20,21,22,24,25",38
"1,2,4,5,8,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25",38
"1,2,3,4,6,7,9,10,11,12,13,16,17,18,19,20,22,23,24,25",37
"1,2,3,5,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25",37
"3,4,5,6,7,8,10,11,12,13,16,17,18,19,20,21,22,23,24,25",37
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,17,18,20,21,22,25",37
"1,2,3,4,5,6,7,8,9,11,13,14,17,18,19,20,21,23,24,25",37
"1,2,3,4,5,6,9,10,12,13,15,16,17,18,19,21,22,23,24,25",37
"1,2,3,5,6,7,9,10,11,12,14,15,17,18,19,20,21,22,24,25",37
"1,2,4,5,6,7,8,9,10,11,12,16,17,19,20,21,22,23,24,25",37
"1,2,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,25",37
"1,2,4,6,7,8,9,10,11,12,13,15,17,18,20,21,22,23,24,25",37
"2,3,4,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25",37
"1,2,3,4,5,6,7,8,9,10,13,14,16,17,18,19,20,23,24,25",37
"2,3,4,5,7,8,10,11,12,13,14,15,18,19,20,21,22,23,24,25",36
"1,2,3,4,6,7,8,9,10,12,13,14,15,17,18,19,22,23,24,25",36
"1,2,3,4,6,7,8,9,10,12,13,14,15,17,19,20,22,23,24,25",36
"1,2,4,5,6,7,8,10,11,12,13,14,16,18,19,20,22,23,24,25",36
"1,2,3,5,6,7,8,9,10,11,12,13,14,15,17,18,20,23,24,25",36
"1,2,3,5,7,8,10,11,13,14,15,16,18,19,20,21,22,23,24,25",36
"1,2,4,5,6,8,10,11,12,13,15,16,17,18,19,20,21,23,24,25",36
"1,3,4,5,6,7,9,10,11,12,13,14,16,17,18,19,20,21,22,24",36
"1,3,5,6,7,8,9,10,12,13,15,16,17,18,19,20,21,22,24,25",36
"1,3,5,7,8,9,10,11,12,13,14,15,16,18,20,21,22,23,24,25",36
"1,2,3,5,6,7,8,9,10,11,12,13,14,15,17,20,21,22,23,24",36
"1,2,4,5,6,7,8,10,11,12,13,14,15,16,17,18,20,23,24,25",36
"2,3,4,6,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24",36
"2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,25",36
"1,2,3,4,7,8,9,10,11,13,14,16,17,19,20,21,22,23,24,25",36
"2,3,4,5,6,7,8,11,12,13,14,16,17,18,19,21,22,23,24,25",36
"1,2,3,4,5,8,9,10,11,12,13,14,15,17,18,20,21,22,24,25",35
"1,3,4,5,6,9,10,11,12,13,15,16,17,18,19,20,21,22,24,25",35
"2,3,4,5,7,8,9,10,11,12,13,14,15,16,18,20,22,23,24,25",35
"2,3,5,6,7,8,9,10,12,14,15,16,18,19,20,21,22,23,24,25",35
"1,2,3,4,5,6,9,10,11,12,13,15,17,18,19,21,22,23,24,25",35
"1,2,3,4,6,7,9,10,11,12,13,14,15,16,17,19,20,23,24,25",35
"1,2,3,5,6,7,8,10,11,12,14,15,17,18,20,21,22,23,24,25",35
"1,2,3,5,7,8,9,10,11,12,13,14,15,18,20,21,22,23,24,25",35
"2,3,4,5,6,7,9,11,12,13,14,15,18,19,20,21,22,23,24,25",35
"1,2,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19,20,21,23",35
"1,2,3,5,7,8,9,10,11,13,14,15,17,18,19,20,22,23,24,25",35
"1,3,4,6,7,8,9,10,11,12,13,14,15,17,18,19,21,22,24,25",35
"1,2,3,4,5,7,9,12,14,15,16,17,18,19,20,21,22,23,24,25",35
"1,3,4,5,6,7,8,9,11,12,14,15,17,18,19,21,22,23,24,25",35
"1,2,3,4,5,6,9,10,12,13,14,15,17,18,19,20,21,22,24,25",34
"1,2,3,4,5,8,10,11,12,13,14,15,18,19,20,21,22,23,24,25",34
"1,2,3,4,6,7,9,10,11,12,13,16,18,19,20,21,22,23,24,25",34
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,18,20,23,24,25",34
"1,2,3,4,5,6,7,9,10,11,12,13,15,16,17,19,20,23,24,25",34
"1,2,3,4,5,6,9,10,11,12,13,14,15,16,19,20,21,23,24,25",34
"1,2,3,4,5,6,9,10,11,12,14,15,16,19,20,21,22,23,24,25",34
"1,2,3,4,6,8,9,10,12,13,14,15,17,18,19,20,21,22,24,25",34
"1,2,4,5,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,25",34
"1,2,4,6,7,8,9,10,12,13,14,15,16,18,20,21,22,23,24,25",34
"1,3,4,6,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25",34
"1,3,5,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,24,25",34
"2,3,4,5,6,7,8,10,11,12,14,15,16,18,19,20,21,23,24,25",34
"2,4,5,6,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24,25",34
"1,2,3,4,5,6,7,8,9,10,11,13,15,16,18,20,22,23,24,25",34
"1,2,3,4,5,7,8,9,10,11,12,13,14,15,17,19,20,21,23,24",34
"1,2,3,4,6,8,9,10,11,12,13,14,16,17,18,20,21,22,24,25",34
"1,2,3,6,7,8,10,11,12,14,15,16,17,18,19,20,22,23,24,25",34
"1,2,3,4,6,7,8,9,11,12,13,14,15,17,18,19,22,23,24,25",33
"1,2,3,4,6,9,10,11,12,13,14,15,17,18,19,20,21,22,24,25",33
"1,2,3,4,5,6,7,8,9,10,11,12,13,17,18,19,20,21,22,25",33
"1,2,3,4,5,6,8,9,10,11,12,13,15,19,20,21,22,23,24,25",33
"1,2,3,4,5,6,8,10,11,12,13,14,16,18,19,20,21,23,24,25",33
"1,3,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,22,24,25",33
"2,3,5,7,8,9,10,11,12,13,14,15,17,18,20,21,22,23,24,25",33
"2,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,22,23,24,25",33
"1,2,3,4,5,6,7,8,9,11,13,14,15,17,18,19,20,22,23,25",33
"1,2,3,4,5,6,7,9,10,11,12,13,14,16,18,19,20,22,23,25",33
"1,2,3,4,5,6,7,9,10,12,13,15,17,18,19,21,22,23,24,25",33
"1,2,3,4,5,7,8,9,10,11,13,14,15,16,18,19,22,23,24,25",33
"1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,21,22,24",33
"1,2,4,5,6,9,10,11,12,14,15,16,17,18,19,20,22,23,24,25",33
"1,3,4,5,7,8,9,10,11,13,14,15,16,17,20,21,22,23,24,25",33
"2,3,4,5,7,8,10,11,12,14,15,16,17,18,20,21,22,23,24,25",33
"2,4,5,6,7,8,10,11,12,14,15,16,17,18,20,21,22,23,24,25",33
"2,4,5,6,8,9,10,12,13,14,15,17,18,19,20,21,22,23,24,25",33
"1,2,3,4,5,6,7,8,9,11,13,14,15,16,17,18,20,21,22,23",33
"1,2,3,4,5,6,7,9,10,11,12,13,14,17,18,19,20,21,22,23",33
"1,2,3,5,6,7,8,9,10,11,12,13,14,16,17,18,19,22,23,25",33
"1,2,3,4,5,8,9,10,11,13,14,15,17,18,20,21,22,23,24,25",32
"1,2,3,5,6,7,9,10,11,12,13,15,16,17,18,19,20,21,24,25",32
"1,2,3,4,5,6,7,8,9,10,11,13,14,15,18,20,22,23,24,25",32
"1,2,3,4,5,6,7,9,10,11,12,13,17,18,19,20,21,23,24,25",32
"1,2,3,4,5,6,8,9,10,11,13,14,15,17,20,21,22,23,24,25",32
"1,2,3,4,5,6,8,10,11,13,14,15,16,19,20,21,22,23,24,25",32
"1,2,3,5,6,7,8,9,10,12,13,14,15,16,18,20,21,22,24,25",32
"1,2,3,6,7,8,9,10,11,12,13,14,15,17,18,19,20,22,24,25",32
"1,3,4,5,8,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25",32
"1,4,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25",32
"2,3,4,5,6,7,8,9,10,11,12,13,14,19,20,21,22,23,24,25",32
"2,3,4,5,6,7,8,10,11,13,14,15,16,19,20,21,22,23,24,25",32
"2,4,5,6,7,9,10,11,12,13,16,17,18,19,20,21,22,23,24,25",32
"1,2,3,4,5,6,7,8,9,10,11,12,16,17,19,20,21,23,24,25",32
"1,2,3,4,5,6,8,9,10,11,14,15,17,18,19,20,21,23,24,25",32
"1,2,3,4,5,6,9,11,12,13,14,15,16,17,19,20,21,22,24,25",32
"1,2,4,7,8,9,10,11,12,13,14,15,16,17,20,21,22,23,24,25",32
"1,3,4,5,6,7,8,9,10,11,13,14,15,16,17,19,20,22,23,25",32
"1,3,4,5,6,7,9,10,12,13,14,15,16,17,18,19,20,21,24,25",32
"1,4,5,7,8,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25",32
"2,3,4,5,7,9,10,11,12,13,14,16,17,18,20,21,22,23,24,25",32
"3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,23,24,25",32
"3,4,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,24,25",32
"1,2,3,4,5,6,7,8,9,10,11,12,13,17,18,19,20,21,22,23",32
"1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,20,22,23,24",32
"1,2,3,5,6,7,9,10,11,12,13,14,16,17,18,19,20,21,22,23",32
"1,2,4,5,7,8,9,10,11,12,14,16,17,18,19,21,22,23,24,25",32
"1,2,3,4,6,7,9,10,11,12,13,15,17,18,19,20,21,22,24,25",31
"1,2,3,4,5,6,7,8,9,10,11,13,14,17,18,20,21,23,24,25",31
"1,2,3,4,5,6,7,9,10,11,12,13,15,17,18,19,20,21,22,25",31
"1,2,3,4,5,7,8,10,11,12,13,14,15,16,18,20,22,23,24,25",31
"1,2,3,4,6,7,8,9,10,11,12,13,15,17,18,19,20,22,24,25",31
"1,2,3,4,6,7,9,10,11,12,13,15,17,18,19,20,21,22,23,25",31
"1,2,3,4,6,8,9,11,12,13,14,15,17,18,19,20,21,22,24,25",31
"1,2,3,5,6,9,10,11,12,13,15,16,17,18,19,21,22,23,24,25",31
"1,2,4,5,6,7,8,9,10,11,12,13,16,19,20,21,22,23,24,25",31
"1,2,4,5,6,8,9,10,11,12,13,15,17,18,20,21,22,23,24,25",31
"1,3,5,7,8,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25",31
"2,3,5,6,7,8,9,10,11,12,13,14,15,17,18,20,22,23,24,25",31
"2,4,6,7,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25",31
"1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,19,22,23,25",31
"1,2,3,4,5,6,7,8,9,10,12,13,14,15,17,20,22,23,24,25",31
"1,2,3,4,5,6,7,9,10,13,14,15,16,17,19,20,21,22,24,25",31
"1,2,3,4,5,6,8,9,10,11,12,13,16,18,20,21,22,23,24,25",31
"1,2,3,4,5,6,9,11,12,13,14,15,16,18,19,20,22,23,24,25",31
"1,2,3,4,5,7,9,10,11,12,13,14,15,16,19,20,21,23,24,25",31
"1,2,3,4,5,8,9,10,11,12,13,14,15,16,19,20,21,23,24,25",31
"1,2,3,4,6,7,8,9,10,11,12,13,14,16,17,19,20,23,24,25",31
"1,2,3,4,6,7,8,9,10,13,14,16,17,18,19,20,21,23,24,25",31
"1,2,3,4,8,9,10,11,13,14,15,17,18,19,20,21,22,23,24,25",31
"1,2,3,5,6,7,8,9,10,12,14,15,16,18,19,20,21,23,24,25",31
"1,3,4,5,6,7,8,9,10,11,12,14,15,17,19,20,21,22,23,24",31
"1,3,4,5,6,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25",31
"1,3,4,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25",31
"1,4,5,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",31
"1,2,3,5,6,7,8,9,10,11,12,13,14,15,19,20,21,23,24,25",31
"1,2,5,6,7,8,9,10,12,13,14,15,16,17,20,21,22,23,24,25",31
"1,3,4,5,6,7,8,9,11,13,14,15,16,18,19,20,21,22,23,24",31
"1,3,4,5,7,8,10,11,12,13,15,16,17,18,19,21,22,23,24,25",31
"2,3,5,6,7,8,9,11,13,14,15,16,17,18,20,21,22,23,24,25",31
"2,4,5,6,7,8,10,11,12,13,15,16,17,18,19,21,22,23,24,25",31
"1,2,3,4,5,6,8,9,10,11,13,14,15,16,18,19,21,22,23,24",31
"1,2,3,4,5,8,9,10,11,12,13,15,17,18,20,21,22,23,24,25",30
"1,2,3,4,6,9,10,11,12,13,14,15,17,18,19,20,22,23,24,25",30
"1,2,3,4,5,6,7,9,10,11,13,15,17,18,19,20,21,23,24,25",30
"1,2,3,4,6,7,8,9,10,11,12,13,15,17,18,19,20,23,24,25",30
"1,2,3,4,6,7,8,9,10,12,13,14,15,17,18,19,20,22,24,25",30
"1,2,3,4,6,7,9,10,11,12,13,15,16,17,18,19,20,21,22,25",30
"1,2,3,4,6,9,10,11,12,13,14,15,17,18,19,20,21,23,24,25",30
"1,2,3,5,8,9,10,11,12,13,14,15,17,18,20,21,22,23,24,25",30
"1,2,4,5,6,8,10,11,12,13,14,15,17,18,20,21,22,23,24,25",30
"2,3,4,5,7,8,9,10,11,12,14,15,16,18,20,21,22,23,24,25",30
"1,2,3,4,5,6,7,8,9,10,12,13,14,17,18,20,22,23,24,25",30
"1,2,3,4,5,6,7,10,11,12,14,15,16,17,19,20,21,23,24,25",30
"1,2,3,4,6,7,10,11,12,13,14,16,17,18,19,20,22,23,24,25",30
"1,2,3,4,6,9,10,11,12,13,14,15,16,17,18,21,22,23,24,25",30
"1,2,3,5,6,7,8,9,10,12,13,14,15,16,19,20,21,22,24,25",30
"1,2,3,5,6,7,8,10,11,12,14,15,17,18,19,20,21,22,23,24",30
"1,2,4,5,6,7,8,10,11,12,13,14,15,16,18,20,21,22,23,24",30
"1,2,4,5,6,7,8,10,11,12,13,14,16,17,18,20,22,23,24,25",30
"1,2,4,5,6,7,9,11,12,13,16,17,18,19,20,21,22,23,24,25",30
"1,2,4,5,7,8,9,10,11,12,13,14,15,17,18,20,21,22,24,25",30
"1,2,4,6,7,8,9,10,11,12,13,14,16,17,18,20,22,23,24,25",30
"1,3,4,5,6,7,9,10,12,13,15,16,17,18,19,20,21,22,24,25",30
"1,3,4,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,23,24",30
"2,3,4,5,6,7,8,9,10,11,14,16,17,18,20,21,22,23,24,25",30
"1,2,3,4,5,6,7,8,9,10,11,16,17,18,19,20,21,23,24,25",30
"1,2,3,4,5,6,7,8,9,11,12,13,14,15,17,18,19,20,22,23",30
"1,2,3,4,5,6,7,8,9,11,14,17,18,19,20,21,22,23,24,25",30
"1,2,3,4,5,6,8,9,10,12,13,14,15,16,17,18,19,20,24,25",30
"1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,21,22,23,24",30
"1,2,3,4,5,8,9,10,11,13,14,15,16,17,18,20,21,22,24,25",30
"1,2,3,4,6,7,8,9,10,11,12,14,15,16,18,20,21,22,24,25",30
"1,2,3,6,7,8,9,11,12,13,14,15,16,17,18,20,21,22,24,25",30
"1,3,4,5,6,7,8,9,10,11,14,16,18,19,20,21,22,23,24,25",30
"1,3,4,5,6,7,8,11,12,13,14,15,16,18,19,20,21,22,24,25",30
"1,3,4,5,6,7,10,11,12,13,14,16,17,18,19,20,22,23,24,25",30
"1,4,5,6,7,8,10,11,12,13,14,17,18,19,20,21,22,23,24,25",30
"2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,19,20,21,23,24",30
"1,2,3,4,5,6,7,8,12,13,15,16,17,18,20,21,22,23,24,25",30
"1,2,3,4,6,9,10,11,12,13,14,15,16,17,18,19,20,22,24,25",29
"1,2,3,5,6,7,8,10,11,12,14,15,17,18,19,20,21,23,24,25",29
"1,2,3,5,6,9,10,11,12,13,15,16,17,18,19,20,21,23,24,25",29
"1,2,4,5,6,8,9,10,12,13,14,16,17,18,19,20,21,22,24,25",29
"1,2,3,4,5,6,7,8,9,10,11,13,14,17,18,19,20,21,23,25",29
"1,2,3,4,5,6,7,8,10,11,13,15,16,18,19,20,21,22,24,25",29
"1,2,3,4,5,6,7,9,10,11,12,13,15,16,17,18,19,20,21,23",29
"1,2,3,4,5,6,7,9,10,11,12,13,17,18,19,20,21,22,23,25",29
"1,2,3,4,5,6,7,9,10,12,13,14,15,17,18,19,21,22,24,25",29
"1,2,3,4,5,6,7,9,10,12,13,14,16,17,18,19,21,22,24,25",29
"1,2,3,4,5,6,7,11,12,13,14,15,17,18,19,20,21,22,24,25",29
"1,2,3,4,5,6,9,10,11,12,13,14,16,19,20,21,22,23,24,25",29
"1,2,3,4,5,6,9,10,12,13,15,16,17,18,19,20,21,23,24,25",29
"1,2,3,4,5,7,8,11,12,13,14,15,18,19,20,21,22,23,24,25",29
"1,2,3,4,5,7,10,11,12,14,15,16,17,18,19,20,21,23,24,25",29
"1,2,3,4,6,7,8,9,10,11,12,13,14,17,18,20,22,23,24,25",29
"1,2,3,4,6,7,8,9,10,11,12,14,15,16,17,19,22,23,24,25",29
"1,2,3,6,7,8,9,10,11,12,13,14,15,17,18,20,21,22,24,25",29
"1,2,4,5,6,7,8,9,10,11,12,13,15,17,18,20,21,23,24,25",29
"1,2,4,5,6,8,9,10,11,12,13,14,16,17,19,20,21,22,24,25",29
"1,2,4,5,6,8,9,10,11,12,14,15,16,17,18,19,20,21,24,25",29
"1,2,4,6,7,8,9,10,11,12,13,15,17,18,19,20,21,23,24,25",29
"1,2,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,22,24,25",29
"1,2,5,6,7,8,9,10,11,12,13,16,17,18,19,20,21,22,24,25",29
"1,2,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,22,24,25",29
"1,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,22,24,25",29
"1,3,4,5,6,9,10,11,12,13,15,16,17,18,19,20,21,23,24,25",29
"1,3,4,5,6,9,10,12,13,14,15,16,17,18,19,20,21,22,24,25",29
"1,4,5,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25",29
"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20,22,23,25",29
"2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,20,21,23,25",29
"2,3,4,5,6,7,8,10,11,12,13,14,16,18,19,20,21,23,24,25",29
"2,4,5,6,7,9,10,11,12,13,14,15,16,18,19,20,22,23,24,25",29
"2,4,5,6,7,9,11,12,13,14,15,16,18,19,20,21,22,23,24,25",29
"1,2,3,4,5,6,7,8,9,10,12,13,14,15,17,19,21,22,24,25",29
"1,2,3,4,5,6,7,8,9,11,12,13,15,16,18,19,20,21,22,24",29
"1,2,3,4,5,6,7,8,10,11,13,15,16,18,19,20,22,23,24,25",29
"1,2,3,4,5,6,8,9,10,11,12,13,15,16,18,19,20,21,22,25",29
"1,2,3,4,5,6,9,11,12,13,14,15,17,19,20,21,22,23,24,25",29
"1,2,3,4,5,7,8,9,10,11,12,14,15,16,17,19,20,21,23,25",29
"1,2,3,5,7,8,9,10,11,12,13,14,16,17,18,20,22,23,24,25",29
"1,2,4,5,7,8,9,10,11,12,13,14,15,16,17,18,21,22,23,24",29
"1,2,4,5,7,8,9,10,11,13,14,15,16,17,18,20,21,22,23,24",29
